v1,v2,v3,v4,v5,v5a_1,v5a_2,v5a_3,v6,v7,v8,v9,v10_1,v10_2,v10_3,v11_1,v11_2,v11_3,v11_4,v11_5,v11_6,v11_7,v11_8,v12,v13,v14,v15_1,v15_2,v16_1,v16_2,v17,v18,v18a_1,v18a_2,v18a_3,v19_1,v19_2,v19_3,v19_4,v19_5,v20_1,v20_2,v20_3,v21_1,v21_2,v21_3,v22,v22a_1,v22a_2,v22a_3,v23,v24,v24a_1,v24a_2,v24a_3,v25,v26,v26a_1,v26a_2,v26a_3,v27,v28,v28a_1,v28a_2,v28a_3,v29,v30,v30a_1,v30a_2,v30a_3,v32,v32a_1,v32a_2,v32a_3,v33,v34,v34a_1,v34a_2,v34a_3,v35,v36,v36a_1,v36a_2,v36a_3,v37,v38,v38a_1,v38a_2,v38a_3,v39,v40,v41,v42,v43,v44,v45,v46,v47,wei1,wei2
13,604,98,4,2,99,99,99,2,2,99,10,3,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,1,99,99,99,9,9,99,99,99,2,2,2,6,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,2,6,99,2,2,1,8,8,5,1,2,2,.8018,.7053
17,905,25,5,2,99,99,99,1,2,99,3,9,8,99,2,3,5,8,99,99,99,99,2,9,9,9,9,9,9,1,2,2,99,99,9,9,9,9,9,99,99,99,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,2,1,1,6,1,1,1.2706,1.6644
12,651,38,2,3,98,99,99,8,2,99,2,6,99,99,2,3,99,99,99,99,99,99,1,2,1,3,9,1,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,3,9,99,9,9,99,99,99,2,2,9,99,99,1,2,4,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,1,9,2,8,4,3,1,1,.9212,1.04
13,998,98,5,4,7,99,99,4,2,99,10,95,99,99,2,8,99,99,99,99,99,99,1,2,2,3,9,8,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,9,99,99,9,9,99,99,99,2,2,97,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,4,99,99,2,1,9,8,8,1,1,2,2,.6385,.5617
4,262,98,4,1,99,99,99,1,2,99,7,6,9,99,1,2,3,4,5,7,8,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,9,99,99,1,2,13,99,99,1,2,9,99,99,1,2,9,99,99,1,2,9,99,99,2,9,99,99,9,9,99,99,99,1,2,13,99,99,1,2,9,99,99,2,1,9,1,1,8,2,1,2,.9525,.6488
17,920,31,4,2,99,99,99,2,2,99,3,3,2,1,1,2,3,5,6,8,99,99,1,2,1,1,9,1,9,1,1,99,99,99,2,3,9,9,9,2,1,99,95,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,2,2,1,1,4,7,1,1,.8061,1.0559
17,941,38,2,2,99,99,99,2,1,7,99,8,96,99,1,2,3,4,5,8,99,99,1,2,1,1,9,2,9,1,2,4,99,99,9,9,9,9,9,99,99,99,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,1,1,1,5,1,2,.9025,1.1822
4,261,25,5,2,99,99,99,3,2,99,7,95,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,97,99,99,9,9,99,99,99,2,2,97,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,97,99,99,2,1,9,2,2,2,3,1,1,.9385,.6393
10,503,40,2,3,96,99,99,3,1,6,99,9,15,99,1,2,5,6,8,99,99,99,1,1,1,1,2,2,9,1,1,99,99,99,1,9,9,9,9,1,99,99,98,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,1,1,2,7,1,1,1.0852,2.0113
18,880,16,6,4,5,99,99,4,2,99,7,6,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,2,99,99,9,9,99,99,99,1,2,97,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,1,2,97,99,99,2,2,2,1,8,6,1,1,2,1.2462,.194
